Frequency (GHz),Signal,B Field (mT)
0.7419354838709671,0.3046511993432825,54.561865999999995
0.6258064516129025,0.5458591402473171,41.86
0.48387096774193505,0.3397393047257107,32.76
0.4064516129032256,0.4910001775004304,23.66
0.2774193548387096,0.46495738253939006,14.56
0.04516129032258043,0.45875797578511074,5.46
